nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Dimas Fabiano,M,86 dias,5 dias,1 dias,18 reuniões,3 reuniões,1 reuniões,23/05/1973,"280.254,39","965.287,10","33.763,00",-,"29.897,78","33.987,99","34.645,39","37.782,58","23.877,46","33.775,98","26.291,36","16.347,48","12.634,33",-,-,-,"90.647,71","88.844,00","93.796,44","89.894,36","94.254,41","100.197,24","96.972,36","108.044,05","109.918,79","438,64",-
Diego Garcia,M,89 dias,3 dias,0 dias,134 reuniões,3 reuniões,43 reuniões,10/10/1984,"255.305,66","916.158,19","33.763,00",-,"13.917,88","34.929,43","47.847,45","39.069,90","36.301,69","32.663,59","20.267,53","6.819,55","11.053,47",-,-,-,"91.310,31","97.522,54","96.593,67","98.459,58","96.173,37","99.859,25","84.300,62","79.772,64","79.111,23","3.281,88",-
Dr. Frederico,M,83 dias,0 dias,9 dias,24 reuniões,0 reuniões,56 reuniões,24/03/1977,"309.442,84","1.106.826,40","33.763,00",-,"36.914,75","41.257,27","42.514,00","38.087,59","33.769,22","28.862,16","24.728,50","11.486,99","20.435,08",-,-,-,"111.201,53","110.944,53","111.313,96","108.641,77","110.772,89","111.313,96","110.891,90","111.313,96","109.219,49","216,66",-
Domingos Sávio,M,87 dias,3 dias,2 dias,29 reuniões,1 reuniões,6 reuniões,25/03/1957,"307.857,07","1.108.990,28","33.763,00",-,"50.435,52","43.947,22","48.074,76","32.735,37","26.928,66","27.300,43","24.815,98","18.843,40","9.599,00",-,-,-,"109.833,82","111.183,95","110.747,01","111.653,56","110.990,37","111.313,88","110.806,11","111.313,88","111.313,88","835,54",-
Doutor Luizinho,M,67 dias,0 dias,25 dias,14 reuniões,0 reuniões,22 reuniões,15/12/1973,"260.002,60","1.074.387,81","33.763,00",-,"33.784,37","41.465,77","38.833,58","43.233,68","24.163,31","23.117,56","18.685,19","9.168,17","0,00",-,-,-,"97.653,62","108.819,42","110.434,31","110.434,31","110.434,31","110.434,31","110.413,15","111.647,44","106.463,32","49,80",-
Domingos Neto,M,79 dias,6 dias,7 dias,30 reuniões,6 reuniões,25 reuniões,29/04/1988,"341.688,98","1.105.842,15","33.763,00",-,"52.313,10","36.169,17","77.719,59","53.317,93","22.751,47","19.502,64","3.346,59","2.837,01","40.000,00",-,-,-,"111.544,43","110.497,19","111.235,68","107.599,23","111.617,24","111.617,24","111.617,24","111.617,24","106.952,23","0,00",-
Dr. Jaziel,M,69 dias,3 dias,20 dias,12 reuniões,1 reuniões,26 reuniões,03/05/1961,"324.091,32","1.115.897,66","33.763,00",-,"44.873,85","55.545,89","35.377,77","35.428,27","36.517,71","20.837,34","20.773,89","21.505,53","0,00",-,-,-,"111.565,34","111.653,51","111.653,51","111.653,51","111.477,80","111.653,51","111.653,51","111.653,51","111.653,51","0,00",-
Dr. Leonardo,M,91 dias,0 dias,1 dias,27 reuniões,1 reuniões,2 reuniões,14/06/1978,"313.609,03","1.047.250,04","33.763,00",-,"34.110,23","43.935,60","41.703,89","51.992,40","36.956,95","29.525,44","11.128,25","9.478,35","12.121,45",-,-,-,"100.959,57","99.231,78","104.982,41","108.961,58","110.759,92","111.287,34","105.356,57","102.212,41","103.517,24","285,07",-
Dr. Zacharias Calil,M,82 dias,6 dias,4 dias,85 reuniões,6 reuniões,26 reuniões,05/11/1953,"227.416,04","806.210,41","33.763,00",-,"32.870,88","33.504,56","32.600,29","32.975,66","18.394,14","17.770,75","7.364,25","5.362,04","20.331,91",-,-,-,"77.891,18","81.413,26","83.956,98","83.956,98","83.754,79","77.891,18","77.891,18","77.891,18","77.891,18","626,90",-
Dr. Luiz Ovando,M,86 dias,5 dias,1 dias,70 reuniões,0 reuniões,12 reuniões,25/09/1949,"340.885,82","973.451,59","33.763,00",-,"41.231,34","52.947,39","47.335,38","46.480,82","30.870,88","29.474,27","27.038,62","21.398,59","3.657,89",-,-,-,"96.640,72","97.315,81","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","97.550,62","412,59",-
Edilázio Júnior,M,87 dias,5 dias,0 dias,12 reuniões,1 reuniões,0 reuniões,04/05/1981,"269.430,92","1.113.908,02","33.763,00",-,"67.991,37","21.709,65","19.692,50","54.054,00","28.378,82","18.023,27","5.308,77","14.235,23","10.391,61",-,-,-,"111.185,22","111.659,65","111.659,65","111.166,30","111.659,65","111.659,65","110.963,46","111.241,12","111.310,78","0,00",-
Edio Lopes,M,71 dias,5 dias,16 dias,18 reuniões,2 reuniões,5 reuniões,04/01/1952,"343.353,54","1.109.839,83","33.763,00",-,"39.836,40","47.117,63","97.784,62","54.268,93","14.519,68","22.739,81","16.760,34","878,14","7.015,18",-,-,-,"110.495,02","111.469,88","111.368,53","111.408,97","111.370,96","111.441,31","111.441,31","111.441,31","108.907,52","0,00",-
Eduardo Barbosa,M,92 dias,0 dias,0 dias,90 reuniões,0 reuniões,17 reuniões,25/08/1958,"244.717,26","1.114.565,19","33.763,00",-,"25.992,80","30.951,65","34.686,06","37.263,00","29.255,32","23.832,28","9.244,83","5.608,98","24.588,51",-,-,-,"111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.453,35","111.485,04","380,51",-
Eduardo Bismarck,M,81 dias,11 dias,0 dias,72 reuniões,7 reuniões,9 reuniões,14/11/1981,"384.464,17","1.081.811,75","33.763,00",-,"48.433,07","53.046,89","53.171,37","40.615,87","35.061,57","49.986,03","24.512,53","5.591,91","31.221,24",-,-,-,"100.116,32","102.925,37","109.885,00","105.453,61","110.998,37","110.998,37","110.998,37","110.998,37","110.998,37","51,91",-
Eduardo Bolsonaro,M,76 dias,14 dias,2 dias,27 reuniões,6 reuniões,12 reuniões,10/07/1984,"289.240,67","1.098.174,63","33.763,00",-,"45.801,56","20.862,74","20.812,35","34.033,24","36.151,56","54.678,40","29.120,22","20.452,30","7.817,74",-,-,-,"111.533,88","111.447,23","109.360,58","111.308,14","109.301,13","107.577,22","107.577,22","108.466,86","110.003,51","381,45",-
Eduardo Costa,M,83 dias,9 dias,0 dias,10 reuniões,6 reuniões,9 reuniões,16/02/1968,"327.904,71","1.112.028,74","33.763,00",-,"27.632,71","45.130,56","64.988,16","42.628,52","22.063,45","21.894,85","13.694,30","16.136,05","36.133,34",-,-,-,"111.313,96","111.421,78","111.429,22","111.429,22","111.429,22","111.429,22","110.376,50","111.374,63","110.511,03","0,00",-
Eduardo Cury,M,88 dias,3 dias,1 dias,73 reuniões,1 reuniões,3 reuniões,19/09/1963,"326.758,44","989.725,85","33.763,00",-,"43.411,00","38.868,35","38.316,02","28.628,41","37.405,99","32.488,40","25.399,98","15.738,89","21.411,50",-,-,-,"92.109,71","91.148,77","98.965,06","97.477,96","103.240,48","98.460,60","98.460,60","98.460,60","109.819,29","844,11",-
Eduardo da Fonte,M,84 dias,3 dias,5 dias,2 reuniões,1 reuniões,40 reuniões,17/10/1972,"312.968,63","1.055.312,52","33.763,00",-,"40.394,52","45.258,71","46.806,07","48.013,04","25.355,86","21.639,01","25.533,18","16.448,58","10.669,23",-,-,-,"108.787,76","97.120,73","105.204,32","102.047,21","111.471,69","102.622,24","103.739,73","108.433,33","105.437,39","0,00",-
Eli Borges,M,81 dias,0 dias,11 dias,6 reuniões,0 reuniões,11 reuniões,01/09/1960,"387.768,57","1.104.364,78","33.763,00",-,"46.066,46","51.592,15","48.724,20","46.239,19","43.313,71","41.770,08","35.826,39","32.457,67","10.263,37",-,-,-,"111.392,69","111.205,19","110.064,23","108.796,48","111.248,28","109.041,83","110.416,27","110.246,84","110.822,48","326,37",-
Efraim Filho,M,73 dias,9 dias,10 dias,6 reuniões,5 reuniões,14 reuniões,18/03/1979,"259.626,75","1.115.589,62","33.763,00",-,"54.289,28","52.463,46","42.763,10","51.650,40","7.412,58","9.627,39","8.755,96","1,36","558,52",-,-,-,"111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.617,23","111.575,98","111.544,43","184,45",-
Eli Corrêa Filho,M,82 dias,0 dias,10 dias,42 reuniões,0 reuniões,27 reuniões,13/01/1976,"259.050,20","1.048.068,72","33.763,00",-,"23.225,37","28.285,66","56.126,53","57.687,80","30.297,57","22.196,45","6.522,28","421,69","11.693,55",-,-,-,"105.205,60","105.205,60","101.881,14","105.205,60","104.761,01","106.115,52","106.115,52","106.115,52","102.257,61","0,00",-
Elmar Nascimento,M,68 dias,24 dias,0 dias,1 reuniões,0 reuniões,0 reuniões,06/07/1970,"387.228,91","1.088.843,14","33.763,00",-,"41.325,81","49.088,47","42.793,20","60.314,77","47.062,33","37.636,26","47.299,08","35.416,34","14.707,22",-,-,-,"111.611,09","111.611,09","111.611,09","111.095,09","110.283,89","98.339,09","103.946,26","108.324,61","110.409,84","0,00",-
Elias Vaz,M,82 dias,9 dias,1 dias,81 reuniões,5 reuniões,14 reuniões,04/07/1966,"165.066,01","1.074.212,44","33.763,00",-,"26.200,21","25.592,46","27.596,14","27.999,68","12.853,99","11.787,89","3.017,22","323,45","13.514,24",-,-,-,"105.866,83","104.555,04","106.630,73","105.866,83","108.826,95","108.826,95","108.826,95","108.826,95","110.118,38","342,15",-
Emanuel Pinheiro Neto,M,70 dias,3 dias,19 dias,11 reuniões,1 reuniões,7 reuniões,05/01/1995,"256.826,54","1.067.534,67","33.763,00",-,"40.897,04","43.529,50","34.158,66","29.158,03","52.895,35","15.688,43","14.630,60","825,90","5.915,00",-,-,-,"109.941,35","111.435,25","110.245,56","111.435,25","109.803,54","108.192,76","97.773,24","100.583,45","99.303,35","209,13",-
Emidinho Madeira,M,80 dias,12 dias,0 dias,16 reuniões,4 reuniões,2 reuniões,10/03/1967,"299.796,22","1.114.845,39","33.763,00",-,"45.061,77","39.330,09","44.434,07","32.196,96","26.760,94","20.847,93","15.245,77","11.938,26","7.218,86",-,-,-,"110.980,22","111.528,12","111.623,22","111.617,15","111.623,22","111.623,28","111.623,32","111.623,32","111.623,32","0,00",-
Enio Verri,M,89 dias,2 dias,1 dias,32 reuniões,0 reuniões,4 reuniões,27/03/1961,"341.401,56","1.111.367,61","33.763,00",-,"37.467,64","68.879,63","43.960,07","38.986,43","29.704,02","25.886,97","22.258,37","24.764,98","11.302,87",-,-,-,"111.398,83","111.398,83","110.749,59","110.220,44","110.538,29","111.455,18","110.876,18","111.665,72","111.665,72","0,00",-
Enrico Misasi,M,87 dias,0 dias,5 dias,43 reuniões,0 reuniões,21 reuniões,06/08/1994,"311.478,65","1.106.991,70","33.763,00",-,"27.020,22","42.425,59","54.222,55","43.740,70","37.817,19","41.206,87","22.642,88","16.871,36","525,61",-,-,-,"111.302,18","110.816,09","110.974,20","106.788,80","110.159,38","111.013,37","111.312,77","111.544,46","111.493,57","58,47",-
Euclydes Pettersen,M,77 dias,14 dias,1 dias,6 reuniões,6 reuniões,13 reuniões,15/08/1984,"229.414,98","1.102.008,88","33.763,00",-,"32.301,23","28.593,33","35.945,83","36.303,64","21.880,35","11.556,55","10.510,19","6.865,31","6.000,00",-,-,-,"110.241,46","111.623,19","111.623,22","111.623,22","110.951,73","109.856,30","110.901,19","111.623,22","111.623,22","0,00",-
Eros Biondini,M,88 dias,4 dias,0 dias,33 reuniões,1 reuniões,14 reuniões,20/05/1971,"271.458,23","836.020,40","33.763,00",-,"28.975,49","33.405,69","36.712,77","31.526,03","29.487,20","35.290,07","20.709,20","17.992,30","15.160,88",-,-,-,"90.223,04","86.035,27","79.786,71","78.682,22","78.922,44","78.922,44","79.682,04","86.771,60","86.771,60","1.683,27",-
Evair Vieira de Melo,M,87 dias,3 dias,2 dias,67 reuniões,1 reuniões,4 reuniões,02/04/1972,"308.184,85","1.096.962,77","33.763,00",-,"44.663,80","61.029,26","43.315,06","38.441,09","24.394,91","23.069,95","14.844,44","2.615,55","17.430,15",-,-,-,"110.527,26","107.201,84","108.042,26","107.178,21","111.172,72","111.328,33","111.555,88","111.526,13","111.526,13","116,26",-
Expedito Netto,M,82 dias,9 dias,1 dias,2 reuniões,3 reuniões,16 reuniões,05/10/1988,"210.097,39","1.099.381,29","33.763,00",-,"30.093,83","31.810,97","25.416,15","30.510,09","18.925,02","27.570,19","12.641,28","1.388,85","15.991,39",-,-,-,"111.544,33","111.544,33","111.539,45","111.529,16","111.100,52","109.785,83","109.894,82","110.132,19","100.766,33","982,08",-
Fábio Henrique,M,90 dias,0 dias,2 dias,75 reuniões,0 reuniões,22 reuniões,19/06/1972,"368.974,61","1.103.960,07","33.763,00",-,"38.278,23","46.688,34","51.837,95","53.420,14","35.534,63","55.589,55","24.846,87","10.956,64","10.828,96",-,-,-,"111.436,47","110.870,47","109.456,57","105.066,49","110.377,32","111.465,54","111.465,54","111.465,54","111.592,91","37,51",-
Fábio Ramalho,M,88 dias,0 dias,4 dias,19 reuniões,0 reuniões,17 reuniões,22/12/1961,"279.623,33","1.073.082,80","33.763,00",-,"45.891,80","34.431,36","36.101,94","27.698,63","23.280,97","25.058,29","19.706,66","16.954,06","11.293,22",-,-,-,"105.995,76","104.102,48","103.699,99","110.337,36","104.762,87","104.762,87","110.775,07","111.665,77","110.131,11","1.247,15",-
Fábio Mitidieri,M,54 dias,10 dias,8 dias,17 reuniões,8 reuniões,19 reuniões,24/02/1977,"227.041,28","1.085.769,32","33.763,00",-,"43.620,72","33.042,39","45.112,33","44.648,72","24.812,68","545,83",-,-,-,-,-,-,"106.389,76","109.876,31","109.876,31","109.876,31","107.693,02","97.566,52","111.538,26","111.538,26","111.538,26","0,00",-
Fabio Schiochet,M,85 dias,3 dias,4 dias,20 reuniões,2 reuniões,5 reuniões,31/05/1988,"366.563,96","1.114.119,12","33.763,00",-,"40.305,37","42.043,11","43.700,43","46.815,31","50.167,04","38.185,13","25.939,12","21.593,26","17.300,62",-,-,-,"111.568,63","111.568,63","111.568,63","111.568,63","111.544,55","111.526,14","111.107,56","111.107,56","110.990,16","3.319,26",-
Fabio Reis,M,80 dias,4 dias,8 dias,35 reuniões,0 reuniões,1 reuniões,15/04/1977,"311.152,08","1.107.209,05","33.763,00",-,"33.581,68","32.144,11","38.648,54","43.493,01","34.772,71","32.086,43","21.185,40","13.796,32","20.587,04",-,-,-,"109.336,37","109.408,57","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","111.574,66","110.708,23","991,04",-
Fausto Pinato,M,77 dias,12 dias,3 dias,43 reuniões,11 reuniões,11 reuniões,01/06/1977,"319.737,01","980.822,68","33.763,00",-,"28.054,73","37.320,63","63.069,18","39.811,88","29.443,84","35.430,36","32.548,24","26.577,30","4.208,16",-,-,-,"90.661,58","91.078,38","98.083,43","93.641,40","98.203,30","101.733,13","105.365,38","105.151,12","105.151,12","0,00",-
Fábio Trad,M,90 dias,1 dias,1 dias,88 reuniões,0 reuniões,3 reuniões,18/08/1969,"152.297,71","1.112.229,14","33.763,00",-,"21.339,35","11.214,78","25.209,13","41.034,10","12.053,32","5.465,70","14.089,48","2.400,90","10.011,50",-,-,-,"111.501,88","111.501,88","111.501,88","111.324,76","111.501,88","111.501,88","111.501,88","110.217,75","110.173,47","0,00",-
Felício Laterça,M,84 dias,7 dias,1 dias,103 reuniões,6 reuniões,6 reuniões,26/05/1967,"343.719,83","1.070.004,37","33.763,00",-,"41.861,86","62.060,32","38.642,49","40.359,41","19.555,55","32.436,61","22.935,73","20.966,82","30.530,69",-,-,-,"108.245,62","111.562,78","92.281,25","109.721,17","106.166,20","108.227,55","109.988,01","108.902,30","111.086,75","608,67",-
Felipe Carreras,M,77 dias,4 dias,11 dias,70 reuniões,1 reuniões,41 reuniões,16/04/1975,"169.230,68","1.110.530,22","33.763,00",-,"20.364,98","19.915,93","21.740,82","14.515,87","16.037,40","21.745,42","29.974,45","4.715,52","5.945,94",-,-,-,"111.659,58","111.659,58","111.659,58","111.659,58","111.571,02","109.331,88","111.617,16","111.617,16","111.617,16","0,00",-
Felipe Francischini,M,86 dias,2 dias,4 dias,26 reuniões,1 reuniões,39 reuniões,02/10/1991,"285.261,63","1.107.177,89","33.763,00",-,"40.851,46","28.714,76","52.025,43","44.628,80","41.969,22","15.569,99","12.110,34","3.248,13","9.523,04",-,-,-,"111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","111.598,86","110.754,73","107.237,53","107.993,61","200,00",-
Felipe Rigoni,M,86 dias,6 dias,0 dias,84 reuniões,7 reuniões,32 reuniões,13/06/1991,"304.207,28","961.510,10","33.763,00",-,"36.360,96","37.743,41","54.439,33","40.781,58","34.092,96","18.297,10","23.638,57","8.762,92","8.564,25",-,-,-,"100.493,35","100.959,56","104.522,55","100.959,56","89.598,50","80.482,02","93.565,41","93.565,41","99.429,69","0,00",-
Félix Mendonça Júnior,M,86 dias,6 dias,0 dias,30 reuniões,8 reuniões,16 reuniões,29/11/1963,"317.051,45","1.093.456,69","33.763,00",-,"36.235,51","35.264,16","50.388,49","42.584,56","23.719,29","43.121,12","20.178,34","14.497,37","19.187,20",-,-,-,"111.574,69","111.574,69","111.574,69","111.574,69","99.983,33","107.556,02","108.772,32","109.170,84","110.100,73","1.619,21",-
Carlos Veras,M,89 dias,3 dias,0 dias,42 reuniões,8 reuniões,33 reuniões,10/08/1981,"337.620,48","1.062.773,43","33.763,00",-,"50.658,26","60.586,84","65.132,56","37.074,81","29.707,30","34.668,74","24.844,59","5.992,91","5.504,15",-,-,-,"100.443,89","100.443,89","108.026,51","105.043,78","106.855,41","109.678,36","109.831,56","109.119,16","111.059,01","0,00",-
Carlos Zarattini,M,86 dias,2 dias,4 dias,20 reuniões,1 reuniões,19 reuniões,08/06/1959,"297.144,40","1.115.444,20","33.763,00",-,"32.367,11","64.118,33","55.777,06","25.278,01","28.292,59","25.051,27","14.054,68","10.433,06","13.858,47",-,-,-,"111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","111.544,42","762,28",-
Cássio Andrade,M,70 dias,22 dias,0 dias,36 reuniões,15 reuniões,25 reuniões,12/09/1981,"302.152,96","1.114.161,17","33.763,00",-,"30.200,32","26.323,38","58.046,30","50.683,51","36.031,58","14.449,73","9.264,77","3.863,84","51.561,00",-,-,-,"111.594,40","111.574,68","111.574,68","111.574,68","111.574,67","110.238,62","111.444,93","111.465,48","111.465,48","0,00",-
Célio Moura,M,88 dias,0 dias,4 dias,55 reuniões,0 reuniões,34 reuniões,13/08/1953,"433.740,30","1.115.443,80","33.763,00",-,"24.693,74","51.336,16","65.154,84","56.438,80","58.388,47","36.339,51","45.541,60","25.197,73","35.259,62",-,-,-,"111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","111.544,38","3.854,85",-
Célio Silveira,M,88 dias,4 dias,0 dias,31 reuniões,1 reuniões,6 reuniões,19/09/1959,"233.944,75","1.113.420,47","33.763,00",-,"29.238,30","30.935,93","31.959,23","27.982,39","18.044,17","17.332,28","17.806,01","16.854,28","25.646,41",-,-,-,"111.671,79","111.671,79","111.671,79","111.671,79","110.968,96","109.631,33","111.578,65","111.441,29","111.441,29","43,69",-
Célio Studart,M,80 dias,3 dias,9 dias,16 reuniões,3 reuniões,16 reuniões,19/06/1987,"330.702,47","1.098.247,56","33.763,00",-,"77.088,77","34.915,78","46.271,91","50.390,81","22.564,85","25.601,39","14.560,40","4.343,55","12.409,73",-,-,-,"111.198,61","111.550,82","111.653,55","111.653,55","107.237,22","111.313,87","108.312,84","107.025,30","107.025,30","150,00",-
Celso Russomanno,M,89 dias,2 dias,1 dias,30 reuniões,5 reuniões,3 reuniões,20/08/1956,"169.493,77","1.026.873,67","33.763,00",-,"28.583,18","23.440,72","24.383,53","32.244,15","25.438,32","19.954,21","5.651,37","1.220,62","2.658,79",-,-,-,"98.308,99","100.425,40","103.522,12","103.329,11","104.152,03","107.493,07","105.272,98","103.828,92","103.579,24","0,00",-
Celso Sabino,M,77 dias,6 dias,9 dias,28 reuniões,4 reuniões,13 reuniões,29/08/1978,"335.516,25","1.084.859,43","33.763,00",-,"41.271,47","41.719,51","53.029,49","35.533,17","42.929,38","37.781,33","16.249,92","14.266,05","16.996,32",-,-,-,"111.280,24","111.379,14","109.110,72","110.872,20","108.438,60","109.562,14","105.568,87","103.896,09","103.640,32","52,50",-
Celso Maldaner,M,82 dias,5 dias,5 dias,22 reuniões,2 reuniões,1 reuniões,30/08/1953,"315.669,00","1.104.561,40","33.763,00",-,"30.121,77","39.390,58","41.007,63","32.327,41","27.013,34","28.086,87","25.892,83","22.035,17","45.612,04",-,-,-,"111.140,65","111.370,11","109.190,92","108.394,27","109.485,71","110.743,36","111.470,49","111.162,32","110.592,90","140,24",-
Charles Fernandes,M,90 dias,1 dias,1 dias,35 reuniões,0 reuniões,6 reuniões,15/03/1965,"317.334,15","1.112.836,72","33.763,00",-,"47.074,05","50.658,86","48.292,35","46.560,45","27.745,84","27.027,00","19.586,71","19.284,11","6.000,00",-,-,-,"111.389,19","111.507,90","110.522,28","111.507,88","111.149,99","111.433,52","111.507,87","111.507,87","110.870,57","848,52",-
Charlles Evangelista,M,88 dias,2 dias,2 dias,27 reuniões,5 reuniões,4 reuniões,27/12/1984,"267.395,69","1.059.386,34","33.763,00",-,"36.430,49","47.122,47","49.948,09","36.668,39","24.701,10","21.331,84","25.587,97","1.432,93","1.723,33",-,-,-,"102.010,39","103.658,78","106.859,77","105.928,21","104.041,72","106.811,02","110.258,36","110.258,36","107.229,36","0,00",-
Cezinha de Madureira,M,85 dias,0 dias,7 dias,38 reuniões,0 reuniões,39 reuniões,12/12/1973,"322.276,68","1.112.642,54","33.763,00",-,"36.167,38","38.256,80","47.505,37","50.290,01","20.781,53","34.316,10","29.210,00","16.683,05","11.517,09",-,-,-,"110.930,03","111.423,09","111.169,89","111.423,09","111.423,09","110.326,94","111.485,72","111.538,36","111.538,36","546,06",-
Chiquinho Brazão,M,84 dias,0 dias,8 dias,50 reuniões,0 reuniões,4 reuniões,22/02/1962,"291.427,25","1.114.045,59","33.763,00",-,"25.886,77","61.019,13","49.940,05","45.809,13","27.195,38","11.919,52","9.234,91","18.772,95","36.021,25",-,-,-,"110.117,12","110.943,03","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","111.623,18","0,00",-
Chico D'Angelo,M,83 dias,3 dias,6 dias,31 reuniões,2 reuniões,34 reuniões,11/02/1953,"280.812,50","1.113.229,62","33.763,00",-,"27.273,29","30.877,95","41.207,47","43.620,43","32.636,24","30.772,24","20.679,40","17.785,93","4.063,19",-,-,-,"111.574,71","110.060,41","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.423,07","111.481,37","0,00",-
Christino Aureo,M,87 dias,5 dias,0 dias,22 reuniões,7 reuniões,7 reuniões,26/04/1962,"361.307,10","1.111.010,04","33.763,00",-,"43.836,64","42.917,16","53.926,39","48.167,17","32.622,07","26.143,21","21.788,64","18.368,80","37.504,39",-,-,-,"111.647,36","107.066,29","111.604,92","111.310,13","111.604,92","111.604,92","111.604,92","111.585,50","111.568,51","325,16",-
Claudio Cajado,M,81 dias,10 dias,1 dias,24 reuniões,2 reuniões,1 reuniões,01/12/1963,"315.267,50","1.102.608,00","33.763,00",-,"40.167,84","53.444,52","27.640,24","42.649,60","33.006,34","28.893,21","31.157,71","9.849,66","22.919,61",-,-,-,"107.663,10","107.365,01","111.611,11","108.851,14","111.611,11","111.611,11","111.611,11","111.611,11","109.134,89","200,00",-
Coronel Armando,M,84 dias,4 dias,4 dias,40 reuniões,0 reuniões,1 reuniões,23/06/1957,"242.139,22","1.092.037,31","33.763,00",-,"26.826,54","33.216,85","49.749,39","48.925,26","25.127,17","20.027,71","10.975,22","4.534,03","9.709,47",-,-,-,"103.071,39","111.201,67","110.773,16","110.216,08","111.095,62","111.269,37","111.508,09","111.508,09","110.157,74","899,08",-
Cleber Verde,M,91 dias,1 dias,0 dias,15 reuniões,0 reuniões,19 reuniões,10/05/1972,"272.909,88","1.091.392,63","33.763,00",-,"18.944,35","47.074,36","99.276,90","45.118,81","13.222,16","16.834,74","8.782,05","4.751,79","4.322,30",-,-,-,"105.407,76","109.632,33","111.342,09","97.860,55","111.580,81","111.580,81","111.580,81","111.580,81","110.238,31","0,00",-
Coronel Chrisóstomo,M,89 dias,0 dias,3 dias,68 reuniões,0 reuniões,35 reuniões,23/06/1959,"367.958,23","1.064.563,22","33.763,00",-,"50.409,86","41.654,50","49.488,53","41.798,47","35.493,95","36.213,06","25.552,93","15.905,04","27.378,01",-,-,-,"106.208,72","102.467,86","98.159,34","107.196,50","108.000,77","107.946,98","108.363,78","109.587,98","109.307,85","494,32",-
Covatti Filho,M,89 dias,0 dias,3 dias,33 reuniões,1 reuniões,12 reuniões,25/07/1987,"351.828,20","1.087.781,16","33.763,00",-,"64.904,76","45.888,49","61.494,69","45.547,51","34.354,07","35.673,58","7.646,43","612,00","15.105,40",-,-,-,"111.617,12","107.422,09","110.840,89","109.771,87","108.844,64","97.398,86","110.212,41","110.288,12","110.463,07","699,78",-
Coronel Tadeu,M,88 dias,0 dias,4 dias,61 reuniões,0 reuniões,14 reuniões,30/09/1965,"322.124,15","1.088.567,27","33.763,00",-,"45.903,08","33.260,17","48.565,66","32.063,81","27.237,62","25.482,15","17.392,78","17.775,38","18.817,49",-,-,-,"109.317,63","107.351,00","110.345,01","101.360,55","108.448,48","106.340,00","111.358,01","111.459,56","111.459,56","18.266,37",-
Dagoberto Nogueira,M,80 dias,10 dias,2 dias,4 reuniões,0 reuniões,0 reuniões,21/07/1955,"386.909,13","1.111.346,73","33.763,00",-,"43.913,03","45.172,41","39.158,72","46.082,30","43.879,61","41.129,03","39.057,91","31.905,09","23.049,21",-,-,-,"111.277,60","111.277,60","111.277,60","111.277,60","111.277,60","110.863,55","110.859,05","110.859,05","111.211,03","0,00",-
Cristiano Vale,M,80 dias,12 dias,0 dias,25 reuniões,5 reuniões,3 reuniões,10/04/1970,"326.930,23","1.053.658,38","33.763,00",-,"49.639,93","30.338,48","49.829,99","43.108,68","38.126,87","26.721,78","30.470,89","32.141,42","5.873,85",-,-,-,"103.847,89","110.040,22","103.859,15","105.919,51","98.892,22","97.650,62","104.977,00","107.755,43","110.676,12","225,36",-
Da Vitoria,M,89 dias,0 dias,3 dias,0 reuniões,0 reuniões,0 reuniões,02/06/1971,"336.091,49","1.103.849,80","33.763,00",-,"61.373,19","36.361,78","37.143,23","48.373,97","27.515,03","30.632,01","27.567,15","23.415,71","3.962,95",-,-,-,"109.232,89","110.340,24","110.968,15","110.968,15","110.968,15","111.559,84","110.395,01","111.192,57","108.308,77","24,72",-
Damião Feliciano,M,81 dias,10 dias,1 dias,29 reuniões,7 reuniões,24 reuniões,28/04/1952,"296.601,23","1.061.513,65","33.763,00",-,"30.513,30","45.137,92","39.985,25","53.251,62","21.830,00","19.723,61","12.971,79","10.939,09","27.967,01",-,-,-,"106.603,56","94.753,60","107.855,77","91.868,67","111.429,12","111.429,12","109.759,06","107.977,67","108.783,05","584,75",-
