nome,genero,presenca_plenario,ausencia_justificada_plenario,ausencia_plenario,presenca_comissao,ausencia_justificada_comissao,ausencia_comissao,data_nascimento,total_gasto_parlamentar,total_gasto_gabinete,salario_bruto,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab
Iracema Portella,F,35 dias,0 dias,4 dias,0 reuniões,0 reuniões,0 reuniões,23/04/1966,"160050,65","1112345,63",33763,-,"37905,45","54717,25",-,"-799,73",-,-,"17561,17","8098,8","9441,57",-,-,-,"110382,33","111176,32","111235,02","111235,02","111235,02","111235,02","111235,02","111304,78","111653,55",0,-
Jandira Feghali,F,91 dias,0 dias,1 dias,41 reuniões,0 reuniões,28 reuniões,17/05/1957,"301210,2","1091025,08",33763,-,"41606,05","42043,96","33766,08","41561,42","35266,15","30544,63","18967,72","23146,67","16977,22",-,-,-,"110346,75","110883,15","110883,15","110883,15","110883,15","106843,71","109640,24","105683,13","103792,22","652,7",-
Jaqueline Cassol,F,81 dias,8 dias,3 dias,47 reuniões,8 reuniões,15 reuniões,03/12/1974,"301704,59","1101655,82",33763,-,"35836,11","33841,17","71115,17","57249,08","20997,72","21444,7","11534,22","2240,92",7424,-,-,-,"111362,29","107986,55","111208,12","110884,32","110180,25","108177,15","110472,02","111321,85","108397,68","1140,31",-
Jéssica Sales,F,42 dias,45 dias,5 dias,0 reuniões,16 reuniões,2 reuniões,28/11/1980,"372828,96","1115845,95",33763,-,"42553,73","47072,55","58428,19","56770,07","3133,62","11486,12","8024,13","2803,33",106000,-,-,-,"111568,56","111568,56","111568,56","111568,56","111568,56","111568,56","111571,11","111647,46","111647,46",0,-
Joice Hasselmann,F,87 dias,5 dias,0 dias,57 reuniões,3 reuniões,3 reuniões,29/01/1978,"298433,25","1031958,41",33763,-,"21173,13","72944,98","44859,38","50332,77","25702,26","16939,86","18265,67","20609,35","1969,75",-,-,-,"106641,61","98487,95","108786,73","101062,57","110597,86","108539,98","102509,19","97950,82","97950,82",0,-
Joenia Wapichana,F,83 dias,9 dias,0 dias,98 reuniões,12 reuniões,15 reuniões,20/04/1973,"402563,84","928898,32",33763,-,"59868,3","85352,21","35824,32","48106,28","43428,93","39248,21","28261,77","13353,61","12562,49",-,-,-,"93767,62","92129,06","79164,66","80310,66","97275,18","102548,82","99850,5","95697,66","96608,8","427,29",-
Lauriete,F,89 dias,3 dias,0 dias,48 reuniões,2 reuniões,2 reuniões,23/02/1970,"269000,95","1078709,33",33763,-,"36787,02","28706,65","49288,05","38112,66","30104,05","18543,11","15764,41","15009,24","7961,74",-,-,-,"105889,29","107644,06","107976,91","107644,06","100506,22","110346,11","111471,61","111471,61","111471,61","127,63",-
Leandre,F,80 dias,10 dias,2 dias,31 reuniões,4 reuniões,23 reuniões,20/12/1975,"362122,06","1099930,9",33763,-,"49384,33","39707,22","55109,67","42738,34","32174,71","34082,73","28823,07","17999,54","29896,72",-,-,-,"108159,67","109633,48","109791,39","109791,39","110801,97","109549,18","111428,41","111307,87","111307,87","1542,59",-
Lídice da Mata,F,89 dias,3 dias,0 dias,56 reuniões,4 reuniões,4 reuniões,12/03/1956,"310596,69","1097526,02",33763,-,"36055,08","41685,69","64741,89","36945,93","25591,94","29647,64","17038,04","9156,67","23759,12",-,-,-,"109880,24","107918,25","111089,52","107472,66","111089,52","111089,52","111089,52","111089,52","111089,52","1006,16",-
Leda Sadala,F,72 dias,18 dias,2 dias,24 reuniões,8 reuniões,15 reuniões,11/06/1966,"343923,35","1101943,16",33763,-,"30026,99","54798,85","51266,85","53049,21","41748,71","31911,86","24292,55","15145,93",8540,-,-,-,"111306,3","109662,6","110017,93","107931,96","110446,45","110633,94","109994,1","111659,63","108861,12",250,-
Liziane Bayer,F,92 dias,0 dias,0 dias,54 reuniões,1 reuniões,18 reuniões,24/01/1981,"427954,39","1059539,96",33763,-,"44680,51","52608,27","60599,67","52869,92","33727,59","34144,01","32890,25","31283,06","45549,34",-,-,-,"104592,92","102932,25","104044,41","102694,3","103593,63","105180,1","107815,81","109597,2","109597,2","15191,09",-
Luisa Canziani,F,82 dias,0 dias,10 dias,18 reuniões,0 reuniões,48 reuniões,11/04/1996,"285386,61","1065687,38",33763,-,"45240,66","36807,66","40742,27","34716,65","35801,06","23760,78","18969,09","8973,68","12687,07",-,-,-,"107944,29","101185,89","110764,8","106123,31","108871,95","100476,78","99154,41","109664,15","110012,04","7,2",-
